datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
20170105-05:00,Smoke,13,0,0,,68,,1017,0,0,19,0,0,1,290,WNW,,,7.4
20170105-05:30,Smoke,12,0,0,,60,,1017,0,0,20,0,0,1.6,270,West,,,5.6
20170105-06:00,Smoke,15,0,0,,60,,1016,0,0,20,0,0,2,250,WSW,,,7.4
20170105-07:00,Smoke,14,0,0,,57,,1015,0,0,23,0,0,3,250,WSW,,,9.3
20170105-08:00,Smoke,16,0,0,,57,,1013,0,0,25,0,0,3,290,WNW,,,5.6
20170105-08:30,Smoke,16,0,0,,57,,1013,0,0,25,0,0,3,280,West,,,5.6
20170105-09:00,Haze,16,0,0,,48,,1012,0,0,25,0,0,2,0,North,,,3.7
20170105-11:00,Haze,14,0,0,,53,,1012,0,0,24,0,0,3,320,NW,,,3.7
20170105-11:30,Haze,14,0,0,,57,,1012,0,0,23,0,0,3,330,NNW,,,3.7
20170105-12:00,Haze,16,0,0,,62,,1012,0,0,22,0,0,2,,,,,0
20170105-15:00,Mist,15,0,0,,91,,1014,0,0,16,0,0,2,,,,,0
20170105-18:00,Mist,14,0,0,,100,,1014,0,0,14,0,0,2,,,,,0
20170105-21:00,Mist,13,0,0,,98,,1013,0,0,13,0,0,1,,,,,0
20170106-00:00,Mist,14,0,0,,98,,1012,0,0,14,0,0,1,140,SE,,,3.7
20170106-02:00,Fog,14,1,0,,100,,1012,0,0,14,0,0,0.6,140,SE,,,5.6
20170106-02:30,Fog,14,1,0,,94,,1013,0,0,15,0,0,0.8,90,East,,,3.7
20170106-03:00,Patches of Fog,14,1,0,,92,,1013,0,0,15,0,0,0.5,140,SE,,,7.4
20170106-03:30,Mist,15,0,0,,94,,1013,0,0,16,0,0,1,140,SE,,,7.4
20170106-04:00,Mist,15,0,0,,88,,1013,0,0,17,0,0,1.2,140,SE,,,9.3
20170106-05:00,Mist,15,0,0,,78,,1014,0,0,19,0,0,1.2,160,SSE,,,13
20170106-05:30,Smoke,14,0,0,,68,,1013,0,0,20,0,0,1.2,160,SSE,,,9.3
20170106-06:00,Smoke,14,0,0,,57,,1013,0,0,21,0,0,1,140,SE,,,7.4
20170106-07:00,Smoke,15,0,0,,64,,1013,0,0,22,0,0,1.5,140,SE,,,9.3
20170106-07:30,Haze,15,0,0,,64,,1012,0,0,22,0,0,2,110,ESE,,,7.4
20170106-08:00,Haze,16,0,0,,65,,1011,0,0,23,0,0,2.5,110,ESE,,,9.3
20170106-08:30,Haze,16,0,0,,61,,1011,0,0,24,0,0,2.5,90,East,,,11.1
20170106-09:00,Haze,16,0,0,,52,,1010,0,0,24,0,0,2,110,ESE,,,11.1
20170106-10:00,Haze,17,0,0,,65,,1010,0,0,24,0,0,2.5,100,East,,,7.4
20170106-11:00,Haze,18,0,0,,73,,1010,0,0,23,0,0,2.5,120,ESE,,,14.8
20170106-11:30,Haze,17,0,0,,73,,1010,0,0,22,0,0,2,130,SE,,,9.3
20170106-12:00,Mist,18,0,0,,76,,1010,0,0,21,0,0,2,110,ESE,,,5.6
20170106-13:00,Partly Cloudy,16,0,0,,88,,1011,0,0,18,0,0,1.5,90,East,,,7.4
20170106-15:00,Mist,17,0,0,,96,,1012,0,0,18,0,0,1,70,ENE,,,7.4
20170106-18:00,Mist,16,0,0,,99,,1012,0,0,17,0,0,1,140,SE,,,11.1
20170106-21:00,Light Fog,16,1,0,,100,,1011,0,0,16,0,0,1,110,ESE,,,13
20170107-00:00,Overcast,15,0,0,,100,,1010,0,0,15,0,0,1,,,,,5.6
20170107-02:00,Light Rain,14,0,0,,100,,1011,1,0,14,0,0,0.5,60,ENE,,,7.4
20170107-02:30,Light Rain,14,0,0,,100,,1011,1,0,14,0,0,0.4,60,ENE,,,14.8
20170107-03:00,Patches of Fog,14,1,0,,100,,1012,0,0,14,0,0,0.5,90,East,,,9.3
20170107-03:30,Overcast,14,0,0,,100,,1012,0,0,14,0,0,1.2,100,East,,,16.7
20170107-04:00,Overcast,14,0,0,,100,,1012,0,0,14,0,0,1,90,East,,,16.7
20170107-04:30,Overcast,14,0,0,,100,,1012,0,0,14,0,0,1,90,East,,,13
20170107-05:30,Overcast,14,0,0,,100,,1013,0,0,14,0,0,1,110,ESE,,,22.2
20170107-06:00,Mist,14,0,0,,94,,1013,0,0,14,0,0,1,110,ESE,,,14.8
20170107-06:30,Overcast,14,0,0,,100,,1012,0,0,14,0,0,1.2,110,ESE,,,11.1
20170107-07:00,Overcast,14,0,0,,94,,1011,0,0,15,0,0,1.2,100,East,,,9.3
20170107-07:30,Mostly Cloudy,14,0,0,,94,,1011,0,0,15,0,0,1.4,90,East,,,18.5
20170107-08:00,Overcast,14,0,0,,94,,1011,0,0,15,0,0,1.4,90,East,,,11.1
20170107-08:30,Overcast,14,0,0,,88,,1010,0,0,16,0,0,1.2,90,East,,,9.3
20170107-09:00,Mist,14,0,0,,90,,1010,0,0,16,0,0,1,90,East,,,11.1
20170107-09:30,Overcast,14,0,0,,88,,1010,0,0,16,0,0,1,90,East,,,11.1
20170107-10:00,Overcast,14,0,0,,88,,1010,0,0,16,0,0,1,110,ESE,,,5.6
20170107-10:30,Overcast,14,0,0,,94,,1010,0,0,15,0,0,1,110,ESE,,,7.4
20170107-12:00,Mist,15,0,0,,92,,1010,0,0,16,0,0,1,110,ESE,,,5.6
20170107-12:30,Fog,15,1,0,,94,,1010,0,0,16,0,0,0.8,110,ESE,,,5.6
20170107-13:00,Fog,15,1,0,,100,,1011,0,0,15,0,0,0.8,90,East,,,3.7
20170107-15:00,Patches of Fog,14,1,0,,96,,1013,0,0,14,0,0,0.5,110,ESE,,,3.7
20170107-18:00,Patches of Fog,14,1,0,,97,,1014,0,0,14,0,0,0.5,90,East,,,3.7
20170107-21:00,Patches of Fog,13,1,0,,97,,1014,0,0,13,0,0,0.5,90,East,,,3.7
20170108-00:00,Mist,12,0,0,,97,,1014,0,0,13,0,0,1,110,ESE,,,3.7
20170108-02:00,Fog,12,1,0,,94,,1015,0,0,13,0,0,0.5,0,North,,,0
20170108-02:30,Fog,13,1,0,,100,,1015,0,0,13,0,0,0.5,0,North,,,0
20170108-03:00,Patches of Fog,,1,0,,,,1016,0,0,,0,0,0.5,,,,,0
20170108-03:30,Fog,13,1,0,,100,,1016,0,0,13,0,0,0.6,0,North,,,0
20170108-04:30,Fog,14,1,0,,94,,1017,0,0,15,0,0,0.8,0,North,,,0
20170108-05:00,Scattered Clouds,14,0,0,,94,,1017,0,0,15,0,0,0.8,60,ENE,,,5.6
20170108-06:00,Mist,14,0,0,,72,,1017,0,0,17,0,0,1,90,East,,,7.4
20170108-06:30,Scattered Clouds,14,0,0,,82,,1017,0,0,17,0,0,1,180,South,,,7.4
20170108-07:00,Scattered Clouds,13,0,0,,77,,1016,0,0,17,0,0,1,0,North,,,0
20170108-07:30,Smoke,13,0,0,,77,,1016,0,0,17,0,0,1.2,40,NE,,,3.7
20170108-08:00,Smoke,14,0,0,,77,,1016,0,0,18,0,0,1.4,20,NNE,,,5.6
20170108-09:00,Smoke,14,0,0,,60,,1015,0,0,19,0,0,1,,,,,0
20170108-10:00,Smoke,12,0,0,,60,,1014,0,0,20,0,0,1.5,0,North,,,0
20170108-10:30,Smoke,12,0,0,,60,,1014,0,0,20,0,0,1.5,0,North,,,0
20170108-11:30,Smoke,14,0,0,,73,,1014,0,0,19,0,0,1.5,0,North,,,0
20170108-12:00,Mist,15,0,0,,76,,1014,0,0,18,0,0,1,,,,,0
20170108-15:00,Mist,13,0,0,,98,,1016,0,0,13,0,0,1,,,,,0
20170108-18:00,Mist,11,0,0,,98,,1016,0,0,11,0,0,1,,,,,0
20170108-21:00,Mist,10,0,0,,98,,1016,0,0,10,0,0,1,320,NW,,,5.6
20170109-00:00,Patches of Fog,10,1,0,,100,,1015,0,0,10,0,0,0.5,,,,,0
20170109-02:00,Fog,10,1,0,,100,,1015,0,0,10,0,0,0.6,0,North,,,0
20170109-03:00,Patches of Fog,10,1,0,,100,,1017,0,0,10,0,0,0.5,,,,,0
20170109-03:30,Fog,10,1,0,,100,,1017,0,0,10,0,0,0.8,0,North,,,0
20170109-04:00,Fog,11,1,0,,94,,1017,0,0,12,0,0,0.8,290,WNW,,,5.6
20170109-04:30,Fog,12,1,0,,94,,1017,0,0,13,0,0,0.8,290,WNW,,,5.6
20170109-05:00,Partly Cloudy,11,0,0,,77,,1018,0,0,15,0,0,0.8,290,WNW,,,5.6
20170109-05:30,Partly Cloudy,11,0,0,,72,,1018,0,0,16,0,0,0.8,230,SW,,,9.3
20170109-06:00,Patches of Fog,14,1,0,,81,,1017,0,0,16,0,0,1,320,NW,,,9.3
20170109-06:30,Partly Cloudy,12,0,0,,72,,1017,0,0,17,0,0,0.8,290,WNW,,,13
20170109-07:00,Partly Cloudy,13,0,0,,77,,1016,0,0,17,0,0,0.8,270,West,,,13
20170109-08:00,Smoke,11,0,0,,60,,1016,0,0,19,0,0,1.4,270,West,,,11.1
20170109-08:30,Smoke,11,0,0,,60,,1015,0,0,19,0,0,1.5,310,NW,,,11.1
20170109-09:00,Smoke,12,0,0,,56,,1015,0,0,19,0,0,1,290,WNW,,,9.3
20170109-10:00,Haze,12,0,0,,64,,1015,0,0,19,0,0,2,320,NW,,,9.3
20170109-11:00,Haze,12,0,0,,68,,1014,0,0,18,0,0,2,270,West,,,11.1
20170109-11:30,Haze,11,0,0,,64,,1014,0,0,18,0,0,2,270,West,,,11.1
20170109-12:00,Haze,12,0,0,,66,,1014,0,0,17,0,0,2,320,NW,,,9.3
20170109-15:00,Mist,12,0,0,,98,,1016,0,0,12,0,0,1,,,,,0
20170109-18:00,Mist,10,0,0,,95,,1016,0,0,10,0,0,1,,,,,0
20170109-21:00,Mist,9,0,0,,99,,1016,0,0,9,0,0,1,270,West,,,3.7
20170110-00:00,Mist,7,0,0,,100,,1016,0,0,7,0,0,1,270,West,,,3.7
20170110-02:00,Fog,6,1,0,,100,,1016,0,0,6,0,0,0.8,270,West,,,3.7
20170110-02:30,Fog,6,1,0,,93,,1016,0,0,7,0,0,0.8,0,North,,,0
20170110-03:00,Mist,6,0,0,,96,,1017,0,0,7,0,0,1,270,West,,,3.7
20170110-04:30,Mist,10,0,0,,82,,1017,0,0,13,0,0,3,270,West,,,11.1
20170110-05:00,Mist,9,0,0,,72,,1018,0,0,14,0,0,3,320,NW,,,11.1
20170110-05:30,Haze,10,0,0,,72,,1018,0,0,15,0,0,3,320,NW,,,11.1
20170110-06:00,Haze,8,0,0,,46,,1018,0,0,16,0,0,2,340,NNW,,,14.8
20170110-07:30,Haze,3,0,0,,39,,1017,0,0,17,0,0,4,290,WNW,,,18.5
20170110-08:00,Haze,4,0,0,,40,,1016,0,0,18,0,0,4,300,WNW,,,18.5
20170110-08:30,Haze,5,0,0,,42,,1016,0,0,18,0,0,4,290,WNW,,,22.2
20170110-09:00,Haze,7,0,0,,40,,1016,0,0,17,0,0,4,290,WNW,,,22.2
20170110-12:00,Haze,7,0,0,,47,,1016,0,0,15,0,0,4,290,WNW,,,9.3
20170110-12:30,Haze,9,0,0,,72,,1016,0,0,14,0,0,3.5,300,WNW,,,5.6
20170110-13:00,Haze,7,0,0,,63,,1016,0,0,14,0,0,3,300,WNW,,,5.6
20170110-15:00,Mist,9,0,0,,94,,1018,0,0,9,0,0,4,,,,,0
20170110-18:00,Patches of Fog,6,1,0,,99,,1019,0,0,6,0,0,4,290,WNW,,,3.7
20170110-21:00,Patches of Fog,5,1,0,,98,,1018,0,0,5,0,0,4,270,West,,,3.7
20170111-00:00,Partial Fog,5,1,0,,98,,1017,0,0,5,0,0,4,270,West,,,14.8
20170111-02:00,Fog,5,1,0,,100,,1017,0,0,5,0,0,0.4,260,West,,,3.7
20170111-02:30,Fog,5,1,0,,100,,1017,0,0,5,0,0,0.4,260,West,,,3.7
20170111-03:00,Mist,4,0,0,,78,,1018,0,0,6,0,0,1,270,West,,,5.6
20170111-03:30,Mist,4,0,0,,81,,1018,0,0,7,0,0,1.5,280,West,,4.9,11.1
20170111-06:00,Haze,6,0,0,,46,,1018,0,0,14,0,0,2,290,WNW,,,16.7
20170111-06:30,Haze,6,0,0,,55,,1018,0,0,15,0,0,2,280,West,,,18.5
20170111-07:00,Haze,7,0,0,,55,,1017,0,0,16,0,0,2,280,West,,,18.5
20170111-08:00,Haze,7,0,0,,52,,1016,0,0,17,0,0,2.5,270,West,,,18.5
20170111-08:30,Haze,6,0,0,,48,,1016,0,0,17,0,0,3.5,280,West,,,13
20170111-09:00,Haze,8,0,0,,42,,1016,0,0,17,0,0,2,270,West,,,18.5
20170111-10:30,Haze,7,0,0,,55,,1015,0,0,16,0,0,3,270,West,,,22.2
20170111-12:00,Haze,8,0,0,,55,,1016,0,0,14,0,0,2,320,NW,,,7.4
20170111-12:30,Haze,8,0,0,,72,,1016,0,0,13,0,0,3,310,NW,,,3.7
20170111-13:00,Mist,7,0,0,,72,,1016,0,0,12,0,0,2.5,0,North,,,0
20170111-15:00,Mist,7,0,0,,94,,1017,0,0,8,0,0,2,,,,,0
20170111-18:00,Mist,6,0,0,,95,,1018,0,0,6,0,0,0.5,,,,,0
20170111-21:00,Partial Fog,5,1,0,,100,,1016,0,0,5,0,0,0.2,,,,,0
20170112-00:00,Partial Fog,4,1,0,,98,,1017,0,0,4,0,0,0.2,,,,,0
20170112-02:00,Fog,4,1,0,,100,,1016,0,0,4,0,0,0.3,230,SW,,,3.7
20170112-02:30,Fog,5,1,0,,100,,1016,0,0,5,0,0,0.3,230,SW,,,3.7
20170112-03:00,Patches of Fog,5,1,0,,99,,1018,0,0,5,0,0,0.5,,,,,0
20170112-04:00,Mist,6,0,0,,82,,1018,0,0,9,0,0,1,250,WSW,,,11.1
20170112-05:00,Smoke,6,0,0,,67,,1018,0,0,12,0,0,1.2,230,SW,,,7.4
20170112-06:00,Smoke,6,0,0,,50,,1018,0,0,14,0,0,1,230,SW,,,11.1
20170112-07:00,Smoke,7,0,0,,52,,1017,0,0,17,0,0,1.5,290,WNW,,,11.1
20170112-07:30,Smoke,7,0,0,,52,,1016,0,0,17,0,0,2.5,280,West,,,13
20170112-08:00,Smoke,8,0,0,,55,,1016,0,0,17,0,0,2.5,250,WSW,,,13
20170112-08:30,Smoke,9,0,0,,56,,1016,0,0,18,0,0,2,270,West,,,11.1
20170112-09:00,Smoke,8,0,0,,44,,1015,0,0,18,0,0,2,320,NW,,,14.8
20170112-11:00,Haze,10,0,0,,59,,1014,0,0,18,0,0,2.5,300,WNW,,,14.8
20170112-12:00,Haze,10,0,0,,57,,1015,0,0,16,0,0,2,290,WNW,,,7.4
20170112-12:30,Haze,10,0,0,,72,,1015,0,0,15,0,0,2,280,West,,,3.7
20170112-13:00,Mist,10,0,0,,82,,1015,0,0,13,0,0,1,0,North,,,0
20170112-15:00,Mist,9,0,0,,92,,1017,0,0,9,0,0,2,,,,,0
20170112-18:00,Mist,7,0,0,,100,,1017,0,0,7,0,0,1,,,,,0
20170112-21:00,Patches of Fog,6,1,0,,100,,1017,0,0,6,0,0,0.5,,,,,0
20170113-00:00,Patches of Fog,5,1,0,,100,,1017,0,0,5,0,0,0.5,,,,,0
20170113-03:00,Partial Fog,6,1,0,,94,,1018,0,0,6,0,0,0.5,250,WSW,,,3.7
20170113-03:30,Fog,6,1,0,,93,,1018,0,0,7,0,0,0.3,280,West,,,3.7
20170113-05:00,Smoke,7,0,0,,67,,1019,0,0,13,0,0,1,290,WNW,,,9.3
20170113-05:30,Smoke,7,0,0,,63,,1019,0,0,14,0,0,1,280,West,,,13
20170113-06:00,Smoke,7,0,0,,48,,1019,0,0,16,0,0,1,320,NW,,,9.3
20170113-06:30,Smoke,7,0,0,,55,,1019,0,0,16,0,0,1.5,340,NNW,,,7.4
20170113-07:30,Smoke,7,0,0,,49,,1018,0,0,18,0,0,1.8,290,WNW,,,14.8
20170113-09:00,Haze,7,0,0,,34,,1016,0,0,19,0,0,2,290,WNW,,,14.8
20170113-10:00,Haze,7,0,0,,46,,1016,0,0,19,0,0,3,320,NW,,,9.3
20170113-10:30,Haze,7,0,0,,46,,1016,0,0,19,0,0,3,320,NW,,,9.3
20170113-11:30,Haze,8,0,0,,52,,1016,0,0,18,0,0,3,320,NW,,,7.4
20170113-12:00,Haze,9,0,0,,45,,1016,0,0,18,0,0,2,320,NW,,,3.7
20170113-12:30,Haze,9,0,0,,63,,1016,0,0,16,0,0,3,290,WNW,,,3.7
20170113-15:00,Mist,8,0,0,,91,,1018,0,0,10,0,0,2,,,,,0
20170113-18:00,Mist,6,0,0,,94,,1019,0,0,6,0,0,1,,,,,0
20170113-21:00,Mist,5,0,0,,100,,1018,0,0,5,0,0,0.5,,,,,0
20170114-00:00,Patches of Fog,5,1,0,,98,,1017,0,0,5,0,0,0.5,,,,,0
20170114-02:00,Smoke,4,0,0,,100,,1018,0,0,4,0,0,0.5,0,North,,,0
20170114-02:30,Fog,4,1,0,,100,,1018,0,0,4,0,0,0.5,0,North,,,0
20170114-03:00,Partial Fog,5,1,0,,96,,1020,0,0,6,0,0,0.2,,,,,0
20170114-03:30,Fog,5,1,0,,93,,1019,0,0,6,0,0,0.4,0,North,,,0
20170114-04:00,Fog,7,1,0,,100,,1019,0,0,7,0,0,0.4,0,North,,,0
20170114-04:30,Fog,9,1,0,,88,,1020,0,0,11,0,0,0.5,230,SW,,,3.7
20170114-05:00,Fog,9,1,0,,77,,1020,0,0,13,0,0,0.7,250,WSW,,,7.4
20170114-05:30,Fog,10,1,0,,77,,1020,0,0,14,0,0,0.8,300,WNW,,,5.6
20170114-06:00,Smoke,9,0,0,,60,,1020,0,0,15,0,0,0.5,270,West,,,9.3
20170114-06:30,Smoke,9,0,0,,63,,1020,0,0,16,0,0,1,270,West,,,9.3
20170114-07:00,Smoke,9,0,0,,56,,1019,0,0,18,0,0,1.2,270,West,,,5.6
20170114-07:30,Smoke,9,0,0,,56,,1019,0,0,18,0,0,1.5,320,NW,,,7.4
20170114-08:00,Smoke,9,0,0,,56,,1018,0,0,18,0,0,1.5,320,NW,,,9.3
20170114-08:30,Haze,9,0,0,,52,,1018,0,0,19,0,0,2,320,NW,,,9.3
20170114-09:00,Smoke,9,0,0,,41,,1018,0,0,19,0,0,2,290,WNW,,,11.1
20170114-09:30,Smoke,9,0,0,,56,,1018,0,0,18,0,0,2,290,WNW,,,5.6
20170114-10:00,Smoke,10,0,0,,59,,1018,0,0,18,0,0,2,300,WNW,,,9.3
20170114-11:30,Smoke,11,0,0,,68,,1018,0,0,17,0,0,2,280,West,,,7.4
20170114-12:00,Smoke,10,0,0,,59,,1019,0,0,16,0,0,2,290,WNW,,,3.7
20170114-12:30,Smoke,10,0,0,,72,,1018,0,0,15,0,0,2,310,NW,,,9.3
20170114-13:00,Smoke,10,0,0,,72,,1018,0,0,15,0,0,1.8,0,North,,,0
20170114-15:00,Mist,11,0,0,,83,,1020,0,0,13,0,0,1,320,NW,,,7.4
20170114-18:00,Mist,11,0,0,,86,,1020,0,0,13,0,0,1,320,NW,,,5.6
20170114-21:00,Mist,11,0,0,,89,,1019,0,0,12,0,0,1,320,NW,,,5.6
20170115-00:00,Mist,10,0,0,,89,,1018,0,0,12,0,0,1,270,West,,,3.7
20170115-02:00,Fog,9,1,0,,100,,1018,0,0,9,0,0,0.6,200,SSW,,,5.6
